구분,질문(Query),답변(Answer),답변 이미지
0,노그가 뭐야,노그는 자다가도생각이나조의 프로그램으로 사용자의 전력사용패턴을 분석하여 예측 전기사용량을 알려주고 냉난방시스템을 제어하며 전력차단을 통해 에너지절약을 도와드립니다.,  
0,넌 누구야,"저는 노지입니다 
성은 '에' 이름은 '노지' 에노지:)
편하게 노지라고 불러주세요",  
0,노그에 대해서 알려줘,노그는 자다가도생각이나조의 프로그램으로 사용자의 전력사용패턴을 분석하여 예측 전기사용량을 알려주고 냉난방시스템을 제어하며 전력차단을 통해 에너지절약을 도와드립니다.,  
0,노그는 무엇을 할 수 있어,노그는 자다가도생각이나조의 프로그램으로 사용자의 전력사용패턴을 분석하여 예측 전기사용량을 알려주고 냉난방시스템을 제어하며 전력차단을 통해 에너지절약을 도와드립니다.,  
0,노그에 대해 설명해줘,노그는 자다가도생각이나조의 프로그램으로 사용자의 전력사용패턴을 분석하여 예측 전기사용량을 알려주고 냉난방시스템을 제어하며 전력차단을 통해 에너지절약을 도와드립니다.,  
0,노그는 무슨일을 해,노그는 자다가도생각이나조의 프로그램으로 사용자의 전력사용패턴을 분석하여 예측 전기사용량을 알려주고 냉난방시스템을 제어하며 전력차단을 통해 에너지절약을 도와드립니다.,  
0,자다가도생각이나조가 뭐야,"자다가도생각이나조는 김태윤,김희성,박서희,임소원,임철홍,조수현으로 이루어진 최고로 멋진 녀석들입니다",  
0,자다가도 생각이나조가 뭐야,"자다가도생각이나조는 김태윤,김희성,박서희,임소원,임철홍,조수현으로 이루어진 최고로 멋진 녀석들입니다",  
0,자다가도생각이나조는 무슨 일을 했어,자다가도생각이나조는 노그 프로그램과 저 노지를 만들었습니다,  
0,자다가도 생각이나조의 성과에 대해 말해줘,자다가도생각이나조는 노그 프로그램과 저 노지를 만들었습니다,  
0,자다가도생각이나조의 성과에 대해 말해줘,자다가도생각이나조는 노그 프로그램과 저 노지를 만들었습니다,  
0,자다가도 생각이나조의 성과에 대해 알려줘,자다가도생각이나조는 노그 프로그램과 저 노지를 만들었습니다,  
0,자다가도생각이나조의 성과에는 무엇이 있어,자다가도생각이나조는 노그 프로그램과 저 노지를 만들었습니다,  
0,자다가도생각이나조에 대해 알려줘,"자다가도생각이나조는 김태윤,김희성,박서희,임소원,임철홍,조수현으로 이루어진 최고로 멋진 녀석들입니다",  
1,에어컨 제어하는 방법 알려줘,에어컨 제어하는 방법 알려드릴게요,/homeControl
1,전자제품 제어하는 방법 알려줘,전자제품 제어하는 방법 알려드릴게요,/homeControl
1,보일러 제어하는 방법 알려줘,보일러 제어하는 방법 알려드릴게요,/homeControl
1,전등 제어하는 방법 알려줘,전등 제어하는 방법 알려드릴게요,/homeControl
1,에어컨 온도 조절하는 방법 알려줘,에어컨 제어하는 방법 알려드릴게요,/homeControl
1,보일러 온도 조절하는 방법 알려줘,보일러 제어하는 방법 알려드릴게요,/homeControl
1,전등 전력 차단하는 방법 알려줘,전등 제어하는 방법 알려드릴게요,/homeControl
1,적정온도에 대해 알려줘,적정온도 알려드릴게요,/homeControl
1,에어컨 관리하는 방법 알려줘,에어컨 관리하는 방법 알려드릴게요,/homeControl
1,보일러 관리하는 방법 알려줘,보일러 관리하는 방법 알려드릴게요,/homeControl
1,전등 관리하는 방법 알려줘,전등 관리하는 방법 알려드릴게요,/homeControl
1,전자제품 관리하는 방법 알려줘,전자제품 관리하는 방법 알려드릴게요,/homeControl
1,전력사용패턴 알려줘,전력사용패턴 알려드릴게요,/analysis
1,나의 전력사용패턴 분석 보여줘,전력사용패턴 알려드릴게요,/analysis
1,전력사용량 알려줘,전력사용량 알려드릴게요,chat_result
1,나의 전력사용량 알려줘,전력사용량 알려드릴게요,chat_result
1,전기요금 알려줘,전기요금 알려드릴게요,/analysis
1,나의 전기요금 알려줘,전기요금 알려드릴게요,/analysis
1,예측 전기 사용량 알려줘,예측 전기 사용량 알려드릴게요,/analysis
1,나의 예측 전기 사용량 알려줘,예측 전기 사용량 알려드릴게요,/analysis
0,전기료를 절약하려면 어떻게 해야돼,전기요금을 절약하려면 저 노그를 사용하세요,  
0,전기요금은 어떻게 계산되는거야,전기요금 계산법을 알려드릴게요,https://online.kepco.co.kr/PRM004D00
0,너 이름이 뭐야,"저는 노지입니다 
성은 '에' 이름은 '노지' 에노지:)
편하게 노지라고 불러주세요",  
1,에어컨 온도 조절해줘,에어컨 온도 조절하는 방법 알려드릴게요,/homeControl
1,보일러 온도 조절해줘,보일러 온도 조절하는 방법 알려드릴게요,/homeControl
0,너는 무엇을 할 수 있어?,저는 자다가도생각이나조의 프로그램으로 사용자의 전력사용패턴을 분석하여 예측 전기사용량을 알려주고 냉난방시스템을 제어하며 전력차단을 통해 에너지절약을 도와드립니다.,  
